,STT,Mã học phần,Tên học phần,Thời lượng,Số tín chỉ,TC học phí,Viện Quản lý,Học phần điều kiện,Tên tiếng anh,Trọng số,Mục tiêu,Nội dung
0,0,1DL242,Advanced Software Design, ,3,0,PDTDH, ,Advanced Software Design,1,,
1,1,1DL330,Functional Programming I, ,3,0,PDTDH, ,Functional Programming I,1,,
2,2,1DL340,Artificial Intelligence, ,3,0,PDTDH, ,Artificial Intelligence,1,,
3,3,1DL350,E-commerce Project, ,6,0,PDTDH, ,E-commerce Project,1,,
4,4,1DL360,Data Mining I, ,3,0,PDTDH, ,Data Mining I,1,,
5,5,1DL450,Advanced Functional Programming, ,3,0,PDTDH, ,Advanced Functional Programming,1,,
6,6,1DL610,Software Testing, ,3,0,PDTDH, ,Software Testing,1,,
7,7,1DL620,Platform-Spanning Systems, ,3,0,PDTDH, ,Platform-Spanning Systems,1,,
8,8,1DT063,Real Time Systems I, ,3,0,PDTDH, ,Real Time Systems I,1,,
9,9,1DT072,Secure Computer Systems I, ,3,0,PDTDH, ,Secure Computer Systems I,1,,
10,10,1DT075,Cryptology, ,3,0,PDTDH, ,Cryptology,1,,
11,11,1DT340,Degree Project C in Computer Science, ,8,0,PDTDH, ,Degree Project C in Computer Science,1,,
12,12,1TD265,Applied Cloud Computing, ,6,0,PDTDH, ,Applied Cloud Computing,1,,
13,13,AC2010,Kỹ thuật lập trình,2(2-1-0-4),2,3,TDDT, ,Programming Techniques,0.7,,
14,14,AC2020,"Đồ họa hình động 2D, 3D",3(3-1-0-6),3,4,TDDT, ,Computer Graphic in 2D and 3D images,0.7,,
15,15,AC2030,Khai thác thông tin đa phương tiện,2(2-1-0-4),2,3,TDDT, ,Multimedia Information Processing,0.7,,
16,16,AC2040,Cơ sở dữ liệu,2(2-1-0-4),2,3,TDDT, ,Database,0.7,,
17,17,AC2040E,Cở sở dữ liệu,2(2-1-0-4),2,3,TDDT, ,Databases,0.7,,
18,18,AC2050,Cấu trúc dữ liệu và giải thuật,2(2-1-0-4),2,3,TDDT, ,Data Structure and Algorithm,0.7,,
19,19,AC2060,Nhập môn trí tuệ nhân tạo,2(2-1-0-4),2,3,TDDT, ,Introduction to Artificial Intelligence,0.7,,
20,20,AC2070,Thiết kế và lập trình web,3(3-0-1-6),3,4.5,TDDT, ,Web Design and Progamming,0.7,,
21,21,AC2080,Trò chơi số và tương tác I,2(2-1-0-4),2,3,TDDT, ,Digital Games and Interaction I,0.7,,
22,22,AC3010,Phân tích và thiết kế hệ thống,2(2-1-0-4),2,3,TDDT, ,System Analysis and Design,0.7,,
23,23,AC3010E,Phân tích và thiết kế hệ thống,2(2-1-0-4),2,3,TDDT, ,System analysis and design,0.7,,
24,24,AC3020,Trò chơi số và tương tác II,2(2-1-0-4),2,3,TDDT, ,Digital Games and Interaction II,0.7,,
25,25,AC3030,Phát triển ứng dụng,2(2-1-0-4),2,3,TDDT, ,Application Development,0.7,,
26,26,AC3040,Lập trình di động,2(2-1-0-4),2,3,TDDT, ,Mobile Programming,0.7,,
27,27,AC3110E,Xử lý ngôn ngữ tự nhiên,2(2-1-0-4),2,3,TDDT, ,Natural Language Processing,0.7,,
28,28,AC3120E,Học máy cơ bản,3(3-1-0-6),3,4,TDDT, ,Fundementals of Machine learning,0.7,,
29,29,AC4010,Thực tại ảo,2(2-1-0-4),2,3,TDDT, ,Virtual Reality,0.7,,
30,30,AC4020,Thực tại tăng cường,2(2-1-0-4),2,3,TDDT, ,Augmented Reality,0.7,,
31,31,AC4110E,Phân tích và trực quan hóa dữ liệu,2(2-1-0-4),2,3,TDDT, ,Data analysis and visualization,0.7,,
32,32,AC4120E,Kỹ xảo điện ảnh,2(2-1-0-4),2,3,TDDT, ,Visual Effects,0.7,,
33,33,AC4130E,Lập trinh game,2(2-0-1-4),2,3.5,TDDT, ,Game Programming,0.7,,
34,34,AC4140E,Lập trình web và ứng dụng di động,3(3-0-1-6),3,4.5,TDDT, ,Web and mobile application,0.7,,
35,35,AC4150E,Tương tác người - máy,2(2-1-0-4),2,3,TDDT, ,Human machine interaction,0.7,,
36,36,ACT291,Kế toán đại cương I,3(3-1-0-0),3,5.5,SIE, ,Introduction to Accounting,0.7,,
37,37,ART1133,Visual Art, ,2, ,SIE, ,Visual Art,0.7,,
38,38,BEE2020,Lý thuyết mạch điện I,4(3-1-1-8),4,5.5,VDTLT, ,Electrical Circuit Theory I,0.7,,
39,39,BEE2030,Trường điện từ,2(2-0-0-4),2,2,VDTLT, ,Electromagnetic Fields,0.7,,
40,40,BEE2110,Điện tử tương tự,3(3-0-1-6),3,4.5,VDTLT, ,Analog Electronics,0.7,,
41,41,BEE2120,Lý thuyết mạch điện II,2(2-0-1-4),2,3.5,VDTLT, ,Electrical Circuit Theory II,0.7,,
42,42,BEE2130,Thiết kế hệ thống số,3(3-0-1-6),3,4.5,VDTLT, ,Digital System Design,0.7,,
43,43,BEE3110,Kỹ thuật đo lường,3(3-0-1-6),3,4.5,VDTLT,EE2110/EE3051/EE3052/EE2111,Measurement and Instrumentation Principles,0.7,,
44,44,BEE3140,Máy điện I,3(3-0-1-6),3,4.5,VDTLT, ,Electrical Machines I,0.7,,
45,45,BEE3280,Lý thuyết điều khiển I,3(3-1-0-6),3,4,VDTLT, ,Control Theory I,0.5,,
46,46,BEE3410,Điện tử công suất,3(3-0-1-6),3,4.5,VDTLT, ,Power Electronics,0.7,,
47,47,BEE3420,Hệ thống cung cấp điện,4(3-1-1-8),4,5.5,VDTLT, ,Power Supply Systems,0.7,,
48,48,BEE3425,Hệ thống cung cấp điện,3(3-1-0-6),3,4,VDTLT, ,Power Supply Systems,0.7,,
49,49,BEE3480,Vi xử lý,3(3-0-1-6),3,4.5,VDTLT, ,Microprocessors,0.7,,
50,50,BEE3490,Kỹ thuật lập trình,3(2-2-0-6),3,4,VDTLT, ,Programming Techniques,0.7,,
51,51,BEE3510,Truyền động điện,3(3-0-1-6),3,4.5,VDTLT, ,Electrical Drives,0.7,,
52,52,BEE3550,Điều khiển quá trình,3(3-1-0-6),3,4,VDTLT, ,Process Control,0.7,,
53,53,BEE3600,Hệ thống đo và điều khiển CN,3(3-0-1-6),3,4.5,VDTLT, ,Industrial Measurement and Control Systems,0.7,,
54,54,BEE3810,Đồ án I,2(0-0-4-8),2,4,VDTLT, ,Project I,0.7,,
55,55,BEE4010,Lưới điện,3(3-1-0-6),3,4,VDTLT, ,Electrical Power Networks,0.7,,
56,56,BEE4020,Ngắn mạch trong HTĐ,3(3-1-0-6),3,4,VDTLT, ,Short Circuit Analysis,0.7,,
57,57,BEE4030,Phần điện NMĐ và TBA,4(4-0-0-8),4,4,VDTLT, ,Electrical Components of Power Plants and Substations,0.7,,
58,58,BEE4040,Bảo vệ và điều khiển HTĐ I,3(3-1-0-6),3,4,VDTLT, ,Power System Protection and Control I,0.7,,
59,59,BEE4041,Thí nghiệm HTĐ II,1(0-0-2-2),1,3,VDTLT, ,Power System Lab II,0.7,,
60,60,BEE4050,KTĐ cao áp I,3(3-1-0-6),3,4,VDTLT, ,High Voltage Engineering I,0.7,,
61,61,BEE4051,Thí nghiệm HTĐ I,1(0-0-2-2),1,3,VDTLT, ,Power System Lab I,0.7,,
62,62,BEE4060,Đồ án III,2(0-0-4-4),2,4,VDTLT, ,Project III: Power Systems,0.7,,
63,63,BEE4061,Bảo vệ và điều khiển HTĐ II,3(3-1-0-6),3,4,VDTLT, ,Power System Protection and Control II,0.7,,
64,64,BEE4108,Tối ưu hóa chế độ HTĐ,3(3-1-0-6),3,4,VDTLT, ,Optimization of Power System Operation,0.7,,
65,65,BEE4112,Nhà máy thủy điện,2(2-0-0-4),2,2,VDTLT, ,Hydro Power Plants,0.7,,
66,66,BEE4114,Quy hoạch hệ thống điện,3(3-1-0-6),3,4,VDTLT, ,Electrical Power System Planning,0.7,,
67,67,BEE4115,Ổn định HTĐ,2(2-1-0-4),2,3,VDTLT, ,Power System Stability,0.7,,
68,68,BEE4220,Điều khiển logic và PLC,3(3-1-0-6),3,4.5,VDTLT, ,Logic Control and PLC,0.7,,
69,69,BEE4240,Trang bị điện - điện tử các máy CN,4(3-1-0-8),4,4,VDTLT, ,Electrical-Electronic Equipments of Industrial Machines,0.7,,
70,70,BEE4336,Thiết kế hệ thống điều khiển ĐTCS,3(3-1-0-6),3,4,VDTLT, ,Design of Power Electronics Control Systems,0.7,,
71,71,BEE4340,Đồ án chuyên ngành,2(0-0-4-4),2,4,VDTLT, ,Senior Design Project,0.7,,
